"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
"011004","1","010010001","3","011","00050","Vivienda2","Pared8","Techo9","Pisos3","Antiguedad6",1,2,4,1,1,1,1,500,1,1,0,0,0,0,1,0,0,0,0,1537,"E01","001",2012
"011002","1","010010001","3","011","00050","Vivienda2","Pared8","Techo9","Pisos3","Antiguedad6",1,3,4,1,1,1,1,1500,1,1,0,0,0,1,1,0,0,0,0,1537,"E01","001",2012
"011003","1","010010001","3","011","00050","Vivienda2","Pared8","Techo9","Pisos3","Antiguedad6",1,3,4,1,1,1,1,1800,1,1,0,0,0,1,1,0,1,0,0,1537,"E01","001",2012
"011004","1","010010001","3","011","00050","Vivienda2","Pared8","Techo9","Pisos3","Antiguedad6",1,2,4,1,1,1,1,500,1,1,0,0,0,0,1,0,0,0,0,1537,"E01","001",2012
"011003","1","010010001","3","011","00050","Vivienda2","Pared8","Techo9","Pisos3","Antiguedad6",1,3,4,1,1,1,1,1800,1,1,0,0,0,1,1,0,1,0,0,1537,"E01","001",2012
"011011","1","010010001","2","011","00230","Vivienda1","Pared8","Techo9","Pisos2","Antiguedad5",1,5,6,1,1,1,1,1200,1,1,1,1,0,1,1,1,0,0,0,1726,"E01","001",2012
"011013","1","010010001","2","011","00230","Vivienda1","Pared8","Techo9","Pisos2","Antiguedad5",1,2,3,1,1,1,1,1000,1,0,0,1,0,0,1,0,0,0,0,1726,"E01","001",2012
"011014","1","010010001","2","011","00230","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad5",1,3,5,1,1,1,1,1200,1,1,0,0,0,0,1,0,0,0,0,1726,"E01","001",2012
"011015","1","010010001","2","011","00230","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad5",1,6,9,1,1,1,1,1500,1,1,1,1,0,1,1,1,0,0,0,1726,"E01","001",2012
"011016","4","010020025","2","014","00320","Vivienda1","Pared8","Techo9","Pisos2","Antiguedad5",1,3,4,1,1,1,1,700,1,1,1,0,0,1,1,0,0,0,0,775,"E01","002",2012
"011017","4","010020025","2","014","00320","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad3",1,2,3,1,1,1,1,500,1,1,1,0,0,1,1,0,0,0,0,775,"E01","002",2012
"011018","4","010020025","2","014","00320","Vivienda1","Pared7","Techo9","Pisos2","Antiguedad6",1,1,2,1,1,1,1,600,1,1,1,0,0,0,1,0,0,0,0,775,"E01","002",2012
"011019","4","010020025","2","014","00320","Vivienda1","Pared8","Techo9","Pisos3","Antiguedad4",1,3,4,1,1,1,1,800,1,1,1,0,0,0,1,0,0,0,0,775,"E01","002",2012
